Indicator Name,Indicator Description,Units of Measure,Name of Geography,Country,UN Standard Country or Area Code (M.49),UNFPA Region Name,Region View Code,Survey Year,Source Organization,Source Description,ld_ranking,Sex: Female
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2020,SDG,Sustainable Development Goals Global Database 2023,1,620.4
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2019,SDG,Sustainable Development Goals Global Database 2023,2,644.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2018,SDG,Sustainable Development Goals Global Database 2023,3,663.4
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2017,SDG,Sustainable Development Goals Global Database 2023,4,681.8
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2016,SDG,Sustainable Development Goals Global Database 2023,5,749.8
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2015,SDG,Sustainable Development Goals Global Database 2023,6,775.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2014,SDG,Sustainable Development Goals Global Database 2023,7,785.4
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2013,SDG,Sustainable Development Goals Global Database 2023,8,820.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2012,SDG,Sustainable Development Goals Global Database 2023,9,833.5
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2011,SDG,Sustainable Development Goals Global Database 2023,10,883.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2010,SDG,Sustainable Development Goals Global Database 2023,11,898.7
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2009,SDG,Sustainable Development Goals Global Database 2023,12,913
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2008,SDG,Sustainable Development Goals Global Database 2023,13,962.3
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2007,SDG,Sustainable Development Goals Global Database 2023,14,1023.5
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2006,SDG,Sustainable Development Goals Global Database 2023,15,1044.4
Maternal mortality ratio,Number of maternal deaths during a given time period per 100000 live births during the same time period.,Ratio,Afghanistan,Afghanistan,4,Asia and the Pacific,,2005,SDG,Sustainable Development Goals Global Database 2023,16,1102.8
