Total Spending,UNFPA,GOV,NGO,UN,Core Resources,Non-core Resources,Program,Country,Year,Country_Name
518347,198535,0,319812,0,1.0,0.0,Adolescents,afghanistan,2015,Afghanistan
7625144,6681884,0,943260,0,0.12,0.88,Data for development,afghanistan,2015,Afghanistan
3755039,862387,0,2892652,0,0.17,0.83,Gender equality and rights,afghanistan,2015,Afghanistan
6989743,3109033,0,3880710,0,0.59,0.41,Integrated sexual and reproductive health,afghanistan,2015,Afghanistan
11984,11984,0,0,0,0.93,0.07,Organizational effectiveness and efficiency,afghanistan,2015,Afghanistan
146681,52952,80609,13120,0,0.74,0.26,Adolescents,albania,2015,Albania
261042,156850,0,104192,0,0.45,0.55,Data for development,albania,2015,Albania
71882,34335,0,37547,0,0.48,0.52,Gender equality and rights,albania,2015,Albania
396189,102558,0,293632,0,0.51,0.49,Integrated sexual and reproductive health,albania,2015,Albania
66189,22752,33107,10330,0,1.0,0.0,Data for development,algeria,2015,Algeria
74943,66085,8858,0,0,1.0,0.0,Gender equality and rights,algeria,2015,Algeria
243370,140986,74885,27499,0,0.98,0.02,Integrated sexual and reproductive health,algeria,2015,Algeria
2434,0,2434,0,0,1.0,0.0,Organizational effectiveness and efficiency,algeria,2015,Algeria
183790,122920,60870,0,0,1.0,0.0,Adolescents,angola,2015,Angola
465264,335447,129817,0,0,1.0,0.0,Data for development,angola,2015,Angola
321422,319176,2246,0,0,1.0,0.0,Gender equality and rights,angola,2015,Angola
1478837,1434685,43880,272,0,1.0,0.0,Integrated sexual and reproductive health,angola,2015,Angola
47245,47245,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,angola,2015,Angola
248145,226180,0,21965,0,0.98,0.02,Adolescents,argentina,2015,Argentina
75904,75904,0,0,0,1.0,0.0,Data for development,argentina,2015,Argentina
207611,205688,0,1923,0,1.0,0.0,Integrated sexual and reproductive health,argentina,2015,Argentina
3438,3438,0,0,0,0.0,1.0,Adolescents,armenia,2015,Armenia
213068,213068,0,0,0,0.98,0.02,Data for development,armenia,2015,Armenia
122184,97407,0,24777,0,1.0,0.0,Gender equality and rights,armenia,2015,Armenia
496137,344699,17800,133638,0,0.28,0.72,Integrated sexual and reproductive health,armenia,2015,Armenia
39121,39121,0,0,0,1.0,0.0,Adolescents,azerbaijan,2015,Azerbaijan
238515,214757,23758,0,0,1.0,0.0,Data for development,azerbaijan,2015,Azerbaijan
175226,175226,0,0,0,1.0,0.0,Gender equality and rights,azerbaijan,2015,Azerbaijan
157241,157241,0,0,0,0.88,0.12,Integrated sexual and reproductive health,azerbaijan,2015,Azerbaijan
1553272,567612,84871,900789,0,0.18,0.82,Adolescents,bangladesh,2015,Bangladesh
3331006,1426093,1715838,119762,69313,0.24,0.76,Data for development,bangladesh,2015,Bangladesh
2490923,1061819,1070778,358326,0,0.58,0.42,Gender equality and rights,bangladesh,2015,Bangladesh
6257160,3213874,2560145,483141,0,0.72,0.28,Integrated sexual and reproductive health,bangladesh,2015,Bangladesh
2802,2802,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,bangladesh,2015,Bangladesh
12951,0,12951,0,0,1.0,0.0,Adolescents,belarus,2015,Belarus
278544,237133,41411,0,0,0.62,0.38,Data for development,belarus,2015,Belarus
225123,209897,0,15226,0,0.17,0.83,Gender equality and rights,belarus,2015,Belarus
46323,46323,0,0,0,1.0,0.0,Integrated sexual and reproductive health,belarus,2015,Belarus
484293,405090,79203,0,0,0.65,0.35,Adolescents,benin,2015,Benin
778256,592732,185523,0,0,0.84,0.16,Data for development,benin,2015,Benin
404140,309637,94504,0,0,0.65,0.35,Gender equality and rights,benin,2015,Benin
2626558,1722482,514151,389925,0,0.23,0.77,Integrated sexual and reproductive health,benin,2015,Benin
808,0,808,0,0,1.0,0.0,Organizational effectiveness and efficiency,benin,2015,Benin
210181,29297,180884,0,0,0.78,0.22,Adolescents,bhutan,2015,Bhutan
164495,8201,156294,0,0,1.0,0.0,Data for development,bhutan,2015,Bhutan
192903,40496,0,152407,0,0.84,0.16,Gender equality and rights,bhutan,2015,Bhutan
534704,251704,283000,0,0,0.83,0.17,Integrated sexual and reproductive health,bhutan,2015,Bhutan
285,285,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,bhutan,2015,Bhutan
698566,514768,114172,69626,0,0.3,0.7,Adolescents,bolivia,2015,Bolivia (Plurinational State of)
646992,502367,85400,59225,0,0.75,0.25,Data for development,bolivia,2015,Bolivia (Plurinational State of)
887675,496746,197948,192981,0,0.12,0.88,Gender equality and rights,bolivia,2015,Bolivia (Plurinational State of)
621701,467337,82495,71869,0,0.55,0.45,Integrated sexual and reproductive health,bolivia,2015,Bolivia (Plurinational State of)
148503,105390,0,43113,0,1.0,0.0,Adolescents,bosnia-herzegovina,2015,Bosnia and Herzegovina
109224,86847,0,22377,0,1.0,-0.0,Data for development,bosnia-herzegovina,2015,Bosnia and Herzegovina
325822,282161,0,43661,0,0.03,0.97,Gender equality and rights,bosnia-herzegovina,2015,Bosnia and Herzegovina
251992,211399,0,40594,0,1.0,0.0,Integrated sexual and reproductive health,bosnia-herzegovina,2015,Bosnia and Herzegovina
1273,1273,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,bosnia-herzegovina,2015,Bosnia and Herzegovina
217210,192259,0,24952,0,0.59,0.41,Adolescents,botswana,2015,Botswana
361339,269490,4073,87776,0,0.71,0.29,Data for development,botswana,2015,Botswana
298166,142634,5025,150507,0,0.58,0.42,Gender equality and rights,botswana,2015,Botswana
430355,371134,42832,16389,0,0.09,0.91,Integrated sexual and reproductive health,botswana,2015,Botswana
25366,25366,0,0,0,0.0,1.0,Organizational effectiveness and efficiency,botswana,2015,Botswana
404829,404829,0,0,0,0.97,0.03,Adolescents,brazil,2015,Brazil
530410,504533,0,25878,0,0.89,0.11,Data for development,brazil,2015,Brazil
82596,82596,0,0,0,1.0,0.0,Gender equality and rights,brazil,2015,Brazil
569907,501914,0,67993,0,0.96,0.04,Integrated sexual and reproductive health,brazil,2015,Brazil
9744,9744,0,0,0,0.6,0.4,Organizational effectiveness and efficiency,brazil,2015,Brazil
713549,377714,333382,2454,0,0.79,0.21,Adolescents,burkina-faso,2015,Burkina Faso
608446,219882,380378,8186,0,1.0,0.0,Data for development,burkina-faso,2015,Burkina Faso
830239,173080,474520,182640,0,0.15,0.85,Gender equality and rights,burkina-faso,2015,Burkina Faso
