Total Spending,UNFPA,GOV,NGO,UN,Core Resources,Non-core Resources,Program,Country,Year,Country_Name
1044660,373747,0,670913,0,0.38,0.62,Empowerment of young people,afghanistan,2018,Afghanistan
4223206,1955729,0,2267477,0,0.13,0.87,Gender equality and empowerment of women and girls,afghanistan,2018,Afghanistan
29185,29185,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,afghanistan,2018,Afghanistan
1171956,1068035,0,103920,0,0.67,0.33,Population and development,afghanistan,2018,Afghanistan
7039370,3690611,0,3348759,0,0.26,0.74,Utilization of sexual and reproductive health services,afghanistan,2018,Afghanistan
182312,74373,19200,88739,0,0.57,0.43,Empowerment of young people,albania,2018,Albania
90243,60884,0,29359,0,0.73,0.27,Gender equality and empowerment of women and girls,albania,2018,Albania
46661,46661,0,0,0,1.0,-0.0,Organizational effectiveness and efficiency,albania,2018,Albania
515088,146488,0,368600,0,0.44,0.56,Population and development,albania,2018,Albania
122226,80226,0,42000,0,0.85,0.15,Utilization of sexual and reproductive health services,albania,2018,Albania
37639,37639,0,0,0,1.0,0.0,Empowerment of young people,algeria,2018,Algeria
91644,85320,0,6323,0,0.62,0.38,Gender equality and empowerment of women and girls,algeria,2018,Algeria
89421,87386,2035,0,0,1.38,0.0,Population and development,algeria,2018,Algeria
135203,74955,51438,8810,0,0.67,0.33,Utilization of sexual and reproductive health services,algeria,2018,Algeria
676133,342403,17034,316696,0,0.14,0.86,Empowerment of young people,angola,2018,Angola
419187,389992,29195,0,0,0.73,0.27,Gender equality and empowerment of women and girls,angola,2018,Angola
360852,208918,61452,90482,0,1.0,-0.0,Population and development,angola,2018,Angola
1218050,1109442,108609,0,0,0.9,0.1,Utilization of sexual and reproductive health services,angola,2018,Angola
12377,12377,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,argentina,2018,Argentina
35507,35507,0,0,0,1.0,0.0,Population and development,argentina,2018,Argentina
99845,93625,0,6220,0,0.68,0.32,Utilization of sexual and reproductive health services,argentina,2018,Argentina
58654,58654,0,0,0,1.02,-0.02,Empowerment of young people,armenia,2018,Armenia
244859,182758,0,62101,0,0.53,0.47,Gender equality and empowerment of women and girls,armenia,2018,Armenia
233318,233318,0,0,0,1.02,-0.02,Population and development,armenia,2018,Armenia
128743,128743,0,0,0,1.02,-0.02,Utilization of sexual and reproductive health services,armenia,2018,Armenia
194631,194631,0,0,0,0.89,0.11,Gender equality and empowerment of women and girls,azerbaijan,2018,Azerbaijan
232186,232186,0,0,0,0.67,0.33,Population and development,azerbaijan,2018,Azerbaijan
214275,214275,0,0,0,1.0,0.0,Utilization of sexual and reproductive health services,azerbaijan,2018,Azerbaijan
2198373,890221,256876,1051276,0,0.34,0.66,Empowerment of young people,bangladesh,2018,Bangladesh
7065276,3684149,209229,3171899,0,0.24,0.76,Gender equality and empowerment of women and girls,bangladesh,2018,Bangladesh
716847,418753,298095,0,0,0.87,0.13,Population and development,bangladesh,2018,Bangladesh
17738175,7251744,2080104,8018671,387655,0.14,0.86,Utilization of sexual and reproductive health services,bangladesh,2018,Bangladesh
9107,9107,0,0,0,1.0,0.0,Empowerment of young people,belarus,2018,Belarus
309318,296366,0,2952,10000,0.18,0.82,Gender equality and empowerment of women and girls,belarus,2018,Belarus
5190,5190,0,0,0,1.0,0.0,Organizational effectiveness and efficiency,belarus,2018,Belarus
183802,183802,0,0,0,0.45,0.55,Population and development,belarus,2018,Belarus
261868,261868,0,0,0,0.77,0.23,Utilization of sexual and reproductive health services,belarus,2018,Belarus
1375061,95704,507830,754382,17146,-0.0,1.0,Empowerment of young people,benin,2018,Benin
603049,126154,173773,303122,0,0.19,0.81,Gender equality and empowerment of women and girls,benin,2018,Benin
457057,340294,72616,0,44148,0.85,0.15,Population and development,benin,2018,Benin
2476607,1981992,229531,204351,60733,0.43,0.57,Utilization of sexual and reproductive health services,benin,2018,Benin
209666,122246,87420,0,0,1.0,0.0,Empowerment of young people,bhutan,2018,Bhutan
109766,16895,10000,82872,0,1.0,0.0,Gender equality and empowerment of women and girls,bhutan,2018,Bhutan
51600,27143,24457,0,0,1.0,0.0,Population and development,bhutan,2018,Bhutan
169348,32753,136595,0,0,1.0,0.0,Utilization of sexual and reproductive health services,bhutan,2018,Bhutan
1030118,691917,191011,147190,0,0.22,0.78,Empowerment of young people,bolivia,2018,Bolivia (Plurinational State of)
1482095,901167,204185,376742,0,0.13,0.87,Gender equality and empowerment of women and girls,bolivia,2018,Bolivia (Plurinational State of)
517601,401456,93050,6895,16200,0.75,0.25,Population and development,bolivia,2018,Bolivia (Plurinational State of)
1488253,710198,143421,634634,0,0.19,0.81,Utilization of sexual and reproductive health services,bolivia,2018,Bolivia (Plurinational State of)
