Country_Name,"MMR per 100,000",MMR_LL,MMR_UL,Births_Attended,New_HIV,Any_Con_All,Any_Con_married,Modern_Con_All,Modern_Con_married,Unmet_Need_Fam_plan_All,Unmet_Need_Fam_plan_married,PM_All,Laws,UHC_Index,Country
Afghanistan,620,406,1050,62,0.03,21,29,19,26,17,23,50,56,41,afghanistan
Albania,8,4,16,100,0.02,33,45,6,6,12,16,12,79,64,albania
Algeria,78,41,164,99,0.05,35,60,30,52,7,11,72,,74,algeria
Angola,222,148,330,50,0.44,17,18,16,17,26,35,37,62,37,angola
Antigua and Barbuda,21,11,36,99,,42,63,40,61,10,13,77,,76,antigua-barbuda
Argentina,45,38,53,99,0.09,59,71,57,68,10,11,83,92,79,argentina
Armenia,27,19,42,100,0.19,39,60,22,33,8,12,46,87,68,armenia
Aruba,,,,,,,,,,,,,,,aruba
Australia,3,2,4,96,,59,67,57,64,8,10,85,,87,australia
Austria,5,4,8,98,,66,73,64,71,5,7,89,,85,austria
Azerbaijan,41,22,69,100,0.05,37,58,16,24,9,13,35,,66,azerbaijan
Bahamas,77,51,128,99,0.15,46,66,44,65,10,12,79,,77,bahamas
Bahrain,16,13,19,100,,29,63,20,44,5,12,59,73,76,bahrain
Bangladesh,123,89,174,59,0.01,52,64,45,56,9,11,74,,52,bangladesh
Barbados,39,22,61,98,0.21,51,63,47,60,12,14,75,44,77,barbados
Belarus,1,1,2,100,0.11,54,63,47,53,11,11,72,83,79,belarus
Belgium,5,4,6,,0.04,59,67,58,67,6,8,91,,86,belgium
Belize,130,105,161,95,0.35,46,58,43,54,14,17,72,43,68,belize
Benin,523,397,768,78,0.11,18,20,15,16,24,30,36,91,38,benin
Bhutan,60,40,82,99,0.08,40,62,39,60,8,12,81,83,60,bhutan
Bolivia (Plurinational State of),161,103,272,81,0.16,49,68,37,51,11,15,61,94,65,bolivia
Bosnia and Herzegovina,6,4,8,100,,39,51,20,22,9,13,42,70,66,bosnia-herzegovina
Botswana,186,151,230,100,1.92,59,70,58,70,8,10,87,64,55,botswana
Brazil,72,57,93,98,0.24,67,80,65,78,6,7,90,,80,brazil
Brunei Darussalam,44,30,61,100,,,,,,,,,41,78,brunei-darussalam
Bulgaria,7,5,10,95,0.03,66,81,52,60,5,6,73,62,73,bulgaria
Burkina Faso,264,169,394,96,0.08,30,34,29,33,19,23,60,81,40,burkina-faso
Burundi,494,353,694,77,0.1,21,34,18,31,16,27,51,65,41,burundi
Cabo Verde,42,26,65,97,0.34,45,59,44,58,12,15,77,84,71,cabo-verde
Cambodia,218,156,326,99,0.08,43,65,33,49,7,10,65,98,58,cambodia
Cameroon,438,332,605,69,0.36,24,24,20,19,16,21,51,,44,cameroon
Canada,11,9,15,98,,73,82,71,80,3,4,92,,91,canada
Central African Republic,835,407,1519,40,1.57,22,24,17,19,21,25,40,77,32,central-african-republic
Chad,1063,772,1586,47,0.22,8,9,7,8,19,25,27,59,29,chad
Chile,15,13,17,100,0.25,65,78,60,72,6,8,85,,82,chile
China,23,19,27,100,,71,85,69,83,4,3,92,,81,china
"China, Hong Kong Special Administrative Region",,,,,,49,71,46,68,8,9,81,,,china-hong-kong-special-administrative-region
"China, Macao Special Administrative Region",,,,,,,,,,,,,,,china-macao-special-administrative-region
Colombia,75,65,86,99,0.16,65,82,61,77,5,6,87,96,80,colombia
Comoros,217,131,367,82,0,21,29,17,24,19,29,44,,48,comoros
Congo,282,194,429,91,2.89,43,46,31,30,14,18,54,55,41,congo
Costa Rica,22,18,26,99,0.14,57,74,56,72,9,10,84,84,81,costa-rica
Côte d'Ivoire,480,318,730,84,0.31,27,26,23,23,21,26,49,64,43,côte-divoire
Croatia,5,3,7,100,0.02,50,71,36,47,5,8,65,98,80,croatia
Cuba,39,35,44,100,0.18,69,72,68,71,8,9,88,,83,cuba
Curaçao,,,,,,,,,,,,,,,curaçao
Cyprus,68,47,99,99,,,,,,,,,72,81,cyprus
Czechia,3,2,5,100,0.02,62,85,55,76,4,4,84,79,84,czechia
Democratic People's Republic of Korea,107,46,249,100,,61,75,58,72,8,8,85,83,68,democratic-peoples-republic-korea
Democratic Republic of the Congo,547,377,907,85,0.13,27,31,17,17,20,25,36,,42,democratic-republic-congo
Denmark,5,4,6,95,0.01,64,77,61,73,5,6,88,87,82,denmark
Djibouti,234,105,530,87,,17,32,17,31,14,25,54,,44,djibouti
Dominica,,,,100,,46,64,44,62,10,13,78,,49,dominica
Dominican Republic,107,87,133,99,0.37,55,68,53,66,10,13,82,,77,dominican-republic
Ecuador,66,52,86,99,0.11,59,80,54,73,7,6,82,92,77,ecuador
Egypt,17,13,22,97,0.05,45,62,43,60,9,12,81,,70,egypt
El Salvador,43,31,61,100,0.13,53,74,50,69,8,10,82,92,78,el-salvador
Equatorial Guinea,212,122,374,68,2.94,19,19,16,16,22,31,39,,46,equatorial-guinea
Eritrea,322,207,508,34,0.06,9,15,9,14,15,28,35,,45,eritrea
Estonia,5,3,9,100,0.1,58,71,50,60,5,7,78,98,79,estonia
