Country,OrgName,OrgType,Description,Amount
Arab States Regional Office,League of Arab States,NGO,ASRO WP with League of Arab States,"117,450.00"
Arab States Regional Office,American University in Cairo - Social Research Center,NGO,Social Determinants of Health,"85,007.85"
Arab States Regional Office,Arab Institute for Human Rights,NGO,SRHR Advocacy,"136,896.10"
Arab States Regional Office,Asian Population and Development Association,NGO,Advocacy on UNFPA mandate with Arab and Asian parlementarians,"287,907.76"
Djibouti,Ministere de la Sante,Government,2023 Plan de Travail Ministere de la Sante,"329,680.95"
Djibouti,Ministere de la Femme et de la Famille,Government,2023 Plan de Travail Ministere de la Femme et de la Famille,"50,117.97"
Egypt,"Ministry of Health, Family Planning and Population Sector",Government,Integrated Reproductive Health Services,"1,260,340.41"
Egypt,Ministry of Health and Population,Government,"Strengthening capacities for RH Care, GBV against W&G, HP services","358,021.94"
Egypt,"International Islamic Center for Population Studies and Research, Al-Azhar University",Government,Al Azhar RL WP,"63,241.93"
Egypt,National Council for Women,Government,"Support the implementation of the National Strategy for Women Empowerment, the promotion of Adolescent Girls Noura Framework, the elimination of FGM and strengthened national system for comprehensive services addressing GBV against women and girls","926,081.70"
Egypt,2Kefaya: PD Integration in Poverty Reduction Program,Government,Support to the National project for the welfare of Egyptian families regarding 2kefaya (PD Integration in Poverty Reduction Program /T&K Beneficiaries),"89,417.46"
Egypt,Premarital Education (Mawada)- Ministry of Social Solidarity,Government,Support to National Project for Development of Egyptian Families regarding Mawadda Contribution,"125,053.70"
Egypt,"Bishopric of Public, Ecumenical & Social Services",NGO,"Addressing Population Growth, Family Planning Issues and Social Norms through Capacitating Coptic Religious Leaders","126,207.19"
Egypt,Youth and Development Consultancy Institute,NGO,"Youth, including girls’, agency and human capital are strengthened to enable them to make informed choices and realize their full potential","1,545,370.67"
Egypt,Egyptian Family Planning Assoc.,NGO,"Strengthened capacities of youth-led networks to empower communities with information on RH , GBV and FGM and integrate response services to the most vulnerable population","298,843.33"
Egypt,Life Makers Foundation,NGO,Empowering young people to engage with and respond to population challenges at the local level through social innovation,"79,113.78"
Egypt,CARE Egypt Foundation,NGO,Comprehensive approach to eliminate Harmful practices in Upper Egypt,"559,394.55"
Egypt,Gozour Foundation for Development,NGO,Involved Communities for Impactful Change,"486,098.04"
Iraq,High Council For Women Development,Government,2023 Work Plan for Kurdistan High Council of Women Development- Rev. 4,"65,431.97"
Iraq,General Directorate for Combating Violence Against Women and Family,Government,2023 Work Plan for General Directorate of Combating Violence against Women,"414,080.00"
Iraq,Ministry of Labor & Social Affairs,Government,2023 Work Plan for Ministry of Labour and Social Affairs. Rev 3,"594,196.27"
Iraq,Tajdid Iraq Foundation for Economic Development,NGO,Tajdid 2022 Work Plan 2023,"425,666.73"
Iraq,Al-Mesalla Organization for Human Resources Development,NGO,Al-Mesalla Annual Work Plan - 2023 1st Rev.,"672,040.03"
Iraq,Zhian Health Organization,NGO,ZHO Work Plan 2023.Rev.5,"1,992,681.18"
Iraq,The United Iraqi Medical Society for Relief & Development (UIMS),NGO,UIMS 4th Rveision Work Plan 2023,"836,702.85"
Iraq,Dary Human Organization,NGO,Dary Work Plan 2023 Rev4.,"293,442.34"
Iraq,Iraq Health Access Organization,NGO,IHAO 4th Rev Annual Work Plan 2023,"911,034.40"
Iraq,UN Habitat,UN,2023 UN Habitat WP,"1,081,268.92"
Iraq,UN Office for Project Services (UNOPS),UN,UNOPS WP 2023 for Hiring CTA,"107,059.10"
Jordan,The Higher Population Council,Government,Revised WP 2023 - Policy and Accountability,"101,298.96"
Jordan,Noor Al-Hussein Foundation,NGO,Revised UNFPA/ IFH 2023 Workplan,"1,173,175.49"
Jordan,Jordan Health Aid Society International,NGO,Revised 2023 WP - Providing of Quality Comprehensive SRH Services to the Vulnerable Population in Zaatari,"1,738,372.89"
Jordan,International Rescue Committee,NGO,Revised/ Provision of Integrated Comprehensive Sexual and Gender-Based Violence Services at Azraq Camp,"779,047.50"
Jordan,National Council for Family Affairs,NGO,UNFPA/NCFA 2023,"88,587.57"
Jordan,Royal Health Awareness Society,NGO,Revised - Royal Health Awareness Society Work Plan 2023 - Revised Shababna Project 2.0,"166,375.75"
Jordan,Questscope for Social Development,NGO,Revised QuestScope Workplan 2023,"118,075.39"
Jordan,Jordanian Women's Union Association,NGO,Revised - UNFPA/JWU 2023 Workplan,"501,412.97"
Jordan,Health Care Accreditation Council,NGO,Revised/ UNFPA HCAC Partnership 2023,"153,338.18"
Jordan,Save The Children Jordan,NGO,Revised UNFPA/ SCI 2023 Workplan,"169,428.35"
Lebanon,National Commission For Lebanese Women (NCLW),Government,Enhancing National Women Machinery Capacities for Advancing Gender Equality and Preventing Gender-Based Violence,"54,000.00"
Lebanon,The Lebanese Association for Popular Action (Amel),NGO,Provide quality GBV services to vulnerable/refugees and migrant workers,"846,312.94"
Lebanon,ABAAD - Resource Center for Gender Equality,NGO,Provide Quality GBV/SRH services,"311,558.21"
Lebanon,Concern Worldwide,NGO,Provide quality GBV services to vulnerable/refugees,"143,681.97"
Lebanon,Makassed Philanthropic Islamic Association of Beirut,NGO,"Enhanced access to RH and GBV services for vulnerable women, men, adolescent girls and youth, Syrian refugees and host communities in Beirut","186,365.92"
Lebanon,Lebanese Order of Midwives,NGO,Enhanced national capacity to deliver high quality Reproductive Health services,"143,192.65"
Lebanon,Developmental Action without Borders,NGO,"Strengthened provision of and equitable access to quality services, including basic services.","78,142.65"
Lebanon,Akkarouna Organization,NGO,Enhancing access to high quality SRH services,"75,236.09"
Lebanon,Caritas Lebanon,NGO,Enhanced Provision of Integrated GBV/SRH Services,"290,204.46"
Lebanon,The Lebanese Council to Resist Violence Against Woman (LECORVAW),NGO,Provide Quality GBV services to Vulnerable Lebanese and Refugees,"164,359.84"
Lebanon,Syndicat de Travailleurs Sociaux,NGO,Enhancing maternal care in Lebanon including for maternal mental health,"85,660.02"
Lebanon,Soins Infirmiers et Developpement Communautaire,NGO,Provide Quality GBV and SRH services to vulnerable Lebanese and Refugees from the LGBTQI Community,"77,802.27"
Lebanon,Lebanese Association for Family Health,NGO,Enhance access to SRH and GBV services,"358,699.00"
Lebanon,Imam Sadr Foundation,NGO,Promote/Respond to GBV,"57,052.00"
Libya,Alsafwa Charity Organization,NGO,Improved access to RMNCAH services in Libya,"694,920.19"
Libya,Abiro Almotawasit / Migrace,NGO,Improved access to RMNCAH services in Libya,"107,389.17"
Morocco,Haut Commissariat au Plan,Government,Intelligence démographique,"220,983.51"
Morocco,"Ministère de la Solidarité, de l'Insertion Sociale et de la Famille",Government,Effectivité de l'Égalité genre et autonomisation des femmes,"199,698.70"
Morocco,Ministère de la santé du Maroc,Government,Accès universel à la Santé Sexuelle et Reproductive,"225,276.79"
Morocco,Organisation Pan-Africaine de lutte contre le Sida,NGO,Accès universel à la Santé Sexuelle et Reproductive,"67,844.70"
Morocco,l'Union de l'Action Féministe ( Morocco),NGO,Plan de Travail Annuel 2023: UAF,"82,093.74"
Palestine,Palestinian Ministry of Health,Government,"Support SRHR strengthening at the all levels of intervention (Policy,service,community)","171,920.68"
Palestine,Prime Minister's Office,Government,Population Data Generation and Analysis,"70,931.64"
Palestine,Palestinian Medical Relief Society,NGO,"Provide high-quality integrated rights-based sexual and reproductive health services with GBV response, and Adolescents & Youth services including in humanitarian situations","933,266.33"
Palestine,Palestinian Family Planning and Protection Association,NGO,Life Saving Response Annual Work Plan 2023,"367,894.51"
Palestine,The Culture and Free Thought Association,NGO,GBV Prevention and Gender Empowerment 2023,"95,546.59"
Palestine,Abdel-Shafi Community Health Association (ACHA),NGO,GBV prevention and Gender empowerment- 2023,"112,259.27"
Palestine,Sharek Youth Forum,NGO,Youth Empowerment and Participation,"436,054.32"
Palestine,Women's Affairs Center,NGO,GBV prevention and Gender empowerment- 2023,"163,090.37"
