Country,OrgName,OrgType,Description,Amount
Guinea-Bissau,"Ministério da Mulher, Família e Coesão Social /Instituto da Mulher e Criança - Promoção da Igualdade e da Equidade do Gênero e dos Direitos Humanos",Government,Gender Equality and women empowerment,"76,871.08"
Guinea-Bissau,Rede Nacional de Luta Contra Violência Baseada no Gênero e Crianças na Guiné-Bissau,NGO,Human Rights for All,"66,548.34"
Guinea-Bissau,Ajuda de Desenvolvimento do Povo para Povo (ADPP),NGO,Jovens Tomam Decisões Saudáveis,"58,566.57"
Guinea-Bissau,Forum Nac Juventude e População,NGO,Adolescents and young people accessing the right to Sexual Reproductive Health,"77,111.55"
Liberia,Ministry of Gender Children and Social Protection,Government,Annual Workplan 2023,"261,340.08"
Liberia,Ministry of Education,Government,UNFPA Annual Work Plan with MOE for the Period January - December 2023,"53,385.49"
Liberia,Liberia Institute of Statistics & Geo-Information Services,Government,Work Plan Between LISGIS and UNFPA,"1,010,006.09"
Liberia,Ministry of Health,Government,2023 Annual Work Plan Between Ministry of Health and UNFPA,"87,714.50"
Liberia,Plan International Inc,NGO,Amended Annual Work Plan 2023,"330,713.63"
Liberia,BRAC Liberia,NGO,Amended BRAC 2023 WP for Promoting Universal Access to SRHR in Southeastern Liberia,"495,363.90"
Liberia,Partners In Health,NGO,2023 Work Plan Between PIH and UNFPA on Universal SRHR for Adolescent and Youth,"149,999.97"
Liberia,Young Men Christian Association (YMCA) of Liberia,NGO,UNFPA 2023 WP with YMCA for Empowering Adolescents to Prevent Unplanned Pregnancy,"305,008.53"
Mali,Ministère de la Jeunesse,Government,Plan de Travail 2023 du Ministère de la Jeunesse et des Sports,"120,093.28"
Mali,Institut National Statistique,Government,Plan de travail annuel 2023 révisé de l'INSTAT,"247,535.08"
Mali,Direction Nationale de la Population,Government,Plan de Travail Annuel 2023 de la DNP révisé,"357,438.41"
Mali,Ministère Famille Femme Enfant,Government,"Plan de Travail 2023 du Ministère de la Promotion de la Femme, de l'Enfant et de la Famille","171,596.08"
Mali,Direction Régionale de la Santé de Sikasso,Government,Plan DE Travail 2023 Revisé T4,"208,617.80"
Mali,Direction Régionale de la Santé de Ségou,Government,Plan de Travail Annuel 2023 Revise 2 de la DRS de Segou (Révisé),"243,627.67"
Mali,Direction Régionale de la Santé de Mopti,Government,Plan de Travail 2023 de la Direction Régionale de la Santé de Mopti (Revisé 2),"306,133.57"
Mali,Direction Régionale de la Santé de Gao,Government,Plan de Travail Annuel 2023 de la DRS de GAO Révisé - 2,"130,115.97"
Mali,Direction Régionale de la Santé de Tbou,Government,Plan de Travail Annuel 2023 de la DRS de Tombouctou (Révisé),"117,500.37"
Mali,Direction Pharmacie Médicament,Government,Plan de Travail Annuel 2023 DPM Revisé,"535,433.37"
Mali,Direction Régionale de la Santé de Koulikoro,Government,Plan de Travail Annuel 2023 de la Direction Regionale de la Sante de Koulikoro - Revisé,"134,800.14"
Mali,Association de Soutien au Developpement des Activites de Population,NGO,Plan de Travail Annuel 2023 Revisé,"581,531.34"
Mali,Association pour la Protection et la Promotion de la Famille,NGO,Plan de Travail 2023 de l'AMPPF Revisé 2,"462,494.35"
Mali,ONG AGIR pour l'environnement et la qualité de la vie,NGO,Plan de travail annuel 2023 révisé,"114,925.97"
Mali,International Emergency and Development Aid (IDEA),NGO,ATRA 2023 IEDA Relief révisé 3,"851,257.79"
Mali,Help - Hilfe zur Selbsthilfe e.V.,NGO,Plan de travail annuel 2023 révisé 1 Help,"470,380.84"
Mali,International Medical Corps - UK,NGO,Plan de Travail Annuel 2023 Révisé 1 IMC,"438,306.81"
Mali,Association Malienne pour le Suivi et l'Orientation des Pratiques Traditionnelles (AMSOPT),NGO,Plan de Travail Annuel 2023 Révisé de l'ONG AMSOPT,"630,620.02"
Mali,"Tostan, Inc",NGO,Plan de Travail Annuel 2023 Révisé de l'ONG Tostan International au Mali,"480,450.26"
Mali,Women in Law and Development,NGO,Plan de Travail Annuel 2023 de WILDAF Révisé 1,"76,083.48"
